,Gender,Race,mael_avg,bergami_org,bergami_dept,pros,cons,story,Coding Notes
U607,Female,Asian,5.0,F,F,"A very good competitive environment and they care for our success and eventually it helps us to be more successful in our life and like a trips, PC winners and Blaze",Zoom meetings after office hours we really don't like while working from home,Passionate about our work: While I was working in Canada there was a security req with a niche skill set and everyone worked on that position except me and I thought no matter what I want to fill this position & I asked my manager that I will work on this req untill am not able to fill and my manager Hardev fully supported me and everyone in my team was saying you wont be able to find anyone on this we already worked on this and I not only submitted a candidate but we got an hire and we cracked that req and filled as well and we got an extension for his project and he worked for 2 years with that client that makes me feel so proud that my manager had trust on me and gives me a platform to respond beyond imagination and he saw how much am passionate about work.,"given the strict geographic separation, 'they' seems to refer to american management a lot"
U663,Male,White,3.5,B,C,"Job duties, sharping my skills, gaining experience and ","Pay, negative family life impact, unrealistic expectations, not being recognized for achievements, not being taken seriously, little-to-no growth opportunities, and the unspoken culture (the culture that exists at Collabera for employees who don't generate sales/growth).","If you take a good look at the cultural values of Collabera and how they are presented to the employees who don't generate sales/growth - they basically tell you that work is more important that anything else.  

Work hard and play hard - only at work though.   They want you to work hard and long and also hang out/do activities with them.  

Passion to serve - make sure you get your duties done without complaint. 

Responsive beyond imagination - don't stop working, you need to have your response before we even ask.

Insanely competitive - sell your coworkers out.  While not being told this directly, management has told me to find other people's mistakes, fix them, and then brag about it to them so they can show to the higher management that what you found is are worth your salary (this is outside of your normal job duties).

 Disciplined to achieve excellence in execution - Make sure you are disciplined enough to get your duties done correctly even with unrealistic timelines",length of response really telling
U1545,Male,Asian,4.666666666666667,G,H,"Collabera is the best company to work with. I have been assosiated with Collabera from past 7 months and it has been a great journey all in all. Be it learning new things or be it working together during this pandemic.

Just to highlight that Collabera has always taken special care of the new joiners.
",I do not see any downside as of now and it will be injustice with this company to judge it in just 7 months. My most of the time passed by working from home :),"During this pandemic collabera we were unable to go out and bring the food for ourselves however, collabera made everything available at the doorstep. They sent the goodies which made me feel like an integral part of Collabera family.","Pandemic seems important, pandemic new hires are distinct"
U167,Male,Asian,5.0,H,H,"At Collabera, Employees always stay motivated, excited and engaged in their work. Every Month, Best Performing Employees get rewarded. Energetic Sports events, Festival Events, Zumba events are organized with the best possible facilities to enjoy together. Collabera offers lucrative incentives, Trips to different countries which always attracts employees to perform at their best potential. Collabera offers some of the most advanced training that no other firm in the country is able to - for eg. Digital Recruitment Training, PACER, CCL Platform that offers wide range of content to learn.",Process Driven Environment which sometimes becomes too frustrating for some new joinees to adopt. No Cab Service. Less Pay Scale.,"At Collabera, I have seen many individuals grow leaps and bounds. Recruiters gaining experience offshore and getting transferred to onshore office which is a life changing event for them. The Visionary Leaders at Collabera have been successful in developing multiple regional offices in the United States, Canada, Malaysia, Poland, Australia and have create tremendous growth opportunities for many. I am very amazed to see how Client Service given highest priority which is very much valued by the Top executives of the clients.",growth emphasized;
U1324,Male,Asian,5.0,G,H,"Best place to work. Collabera was my 1st professional corporate job. I had many expectations which were met. The managers were a big help and were always available to pull you out of any problem. Overall nice experience
Good opportunity for growth
Nice working environment
Different internal activities organised
Motivational management
Great team work.
Overall it's best place to work. ","No cons worth mentioning at this time.
But I would like to mention, they give you the right opportunity to work. They give you exposure to lot of people and culture. People love to work here, the culture the festivals that are celebrated are awesome.","The upper management is stagnant for year hence growth is pretty slow, work culture is great and actually stands true to all its 5 values that the company is known for.","the format of the story is similar to that of pros and cons, perhaps primed?"
U838,Male,Asian,4.333333333333333,F,E,"Cultural, multiple avenues to take up new responsibilities, freedom to share ideas and lead initiatives, friendly colleagues","Lack of work-life balance, unstructured decision, unstructured approach to problem-solving, sometimes the processes tests an individual when things get dragged ",Every day we come across people who go above and beyond. Most recently my team took a product from concept to reality in 3 weeks. Every member of the team contributed immensely to make it happen to help business.,we seem to often relate to team
U1006,Female,Asian,4.333333333333333,F,G,I love to work in Collabera as it helps me grow as an individual. Also Collabera make sure to celebrate each festival on a large scale so that we do not feel detached or miss home. Collabera shows interest in well being of each individual.,I do not find any downside while working at Collabera.,One of my consultant Gilberto was away from his family for more than a decade . He joined through Collabera in his hometown and in few months he got permanent with client. He showed immense pleasure and joy as he will now be able to stay with his family. This shows how passionate we are to service client and consultants.,Growth seems important
U399,Female,Asian,3.3333333333333335,C,C,Work culture and environment is good. Celeberating festivals in Collabera is great fun,"downsides- Appraisal and compensation benefits, incentives. ",Work culture is positive. The best part experience is employee engagement activity. People working in collabera are very friendly.,
U1584,Female,Asian,4.833333333333333,E,F,Working at Collabera has improved my performance and given my career a great shape. I learned a lot and applied my skills and experience to the best extent. It's a pleasure working with people who helps you to gain knowledge and assist you in achieving milestones,There are times when we have to deal with people who take their work casually and need frequent reminders to start and complete their tasks. There are situations where you have to face rigid situations in making them understand the crux of the problem and the importance of the moment.,Collabera believes in developing cultural values. I can share one experience when we celebrated Women's day at office. It was a beautiful day and everyone passionately participated and encouraged others to be a part of the beautiful occasion. The get together was perfect and overwhelming.,
U1173,Male,Asian,4.5,E,E,Collabera Collabera Collabera Collabera Collabera.,Collabera Collabera Collabera Collabera Collabera.,Collabera Collabera Collabera Collabera Collabera.,Just bad response - same response across three answers
U524,Male,Asian,4.0,B,C,"great team to work with, good support from the people",Most of the time I feel like my work is monotonous ,"According to my experience, I like the supportive culture of collabera. Where your senior's are there to support and help you when you need them.",length important
U1413,Male,Asian,3.5,F,H,Best place to work with positive and healthy work space.,Due to the current situation on COVID - 19 that was only time faced challenges.  ,Working with collabera has boosted my energy and changed my mindset to next well that we can do something. #meinkhelega :) ,'best place to work'? used repeatedly
U748,Male,Asian,4.5,G,H,The work culture and environment provided by the company with excellent growth opportunities both on financial and career aspects.,The work pressure can be tremendous at times along with disparity at some levels as far as accounts or higher margin positions are concerned.,"An individual who joined Collabera as a fresher is now a manager, making good money, managing an excellent account hence enjoying the career growth with financial stability.",incomplete sentences
U1697,Female,Asian,4.333333333333333,E,H,"The work environment is good, seniors are helping  and coordinating, everybody is friendly at the same time focused and seniors try to make me comfortable while taking session.","The only con is I am not able to go physically to office as I am new  at Collabera so haven't got the opportunity , i wanted to see my office and how the real life but no problem waiting for everything to reopen. Hopefully everything gets better soon.","The culture is very nice and fresh. Mentors are cooperative and helping, the best quality is we believe in work hard play hard which it help us explore our creative side also.  Again looking forward the office to reopen when everything gets better so i can enjoy office culture and fun Friday in real life.",Mentions lack of physical work
U1733,Female,White,4.666666666666667,B,C,I enjoy working at Collabera because this company gives so many opportunities for career enhancement. We are always learning and I feel that in my short time with this company my knowledge has been expanded tremendously.,"I dont feel that there are any downsides. Working from home is difficult, but that is not a fault of Collabera's it is just the pandemic and the time we are in. ","One thing I appreciate so much is people always checking up on me. Working from home is not the easiest thing in the world, especially when you are a new employee. It is nice to have people call and make sure I don't have any questions or make themselves available at all times if I need help. ",WFM
U566,Male,Asian,5.0,G,G,Collabera is among the best staffing company in Baroda to work with. From Collabera I started my career and still with them :),The only cons I see are the work hours. From my personal experiences I have see that I have been working continuously more than 12 hrs without getting overtime.,"Work Hard, Play Hard!
I do not recall any such stories but have seen that this is best value we have adhere to.",mentions value; the best company
U705,Male,Asian,4.333333333333333,E,F,"I love working with Collabera, as it helps in overall development of a person in terms of skills, knowledge, confidence, maturity, self motivator, competitive, hard worker, responsibility etc. Work culture & environment is very good, we get a chance to learn from the seniors and a lot of motivation from management to achieve personal ans company goals together as One team One Dream.","Not specifically, but equal opportunity is a concern from my personal point of view. Less opportunity in my region to earn, or to make an impact or name in the company with achievements. Efforts is same but rest is different in terms of incentives and achievements. Overall no big Cons","Motivation from seniors helped me to achieve more that my targets for 2019. I remember a phase where i was confused and was feeling low, while comparing myself with my colleagues. But one of the manager came into picture and he asked to concentrate on my work rather than concentrating on things which is not in my hand.",people in india concerned about equal opportunity
U948,Male,Asian,3.6666666666666665,B,C,"I like the work environment in Collabera.

I like Collabera because, Collabora is celebrating a festival, employee appreciation, and annual function.      ","'-Collabera is not provide transport.
-collabera is not provide indian holidays.
","Positive:-
-Collabora is celebrating all the festival.
-Providing good training.

Negative:-
Collabera is not provide transport.

",story just a repeat of pros and cons
U679,Female,Asian,4.666666666666667,H,E,I can see growth in both the manners professionally and personally. There is always been a transparency in our team work and always been motivated for our good work which encourages to give our level best.,I don't really think there is any downside of working at Collabera at all.,"Nothing top of my head but overall its been amazing 3 years with loads and loads of learning, achievements, work pressure, team bonding and what not. It not only work but a great environment with best culture i have ever seen in any other company yet. ",the best; personal growth important for identification
U901,Male,Asian,4.5,G,G,"The best reason to work her is my team and team culture.
Always money motivated
The another reason is the leaders of company, 
The way we work, the big brand name of Collabera",I have been working with Collabera from last two years and hike that i got in two years is just 4K INR,"We are always running for excellence every time. I am not able to re call a single day when we are demotivated by the work, the leaders are always having our back.
I love the way how each and every resource is treated by the leaders.",brand name
U1290,Female,White,4.666666666666667,F,G,"The culture, the sense of family, the ability to grow in your career and the people.
",The number of calls within a day can be difficult to mange and tend to get in the way of your actual job. The inconsistency of the networks and apps we use tend to make your daily tasks difficult.,Traveling to other offices has allowed me to see how everyone embraces the culture and core values. I love asking how insanely competitive everyone is and how they embrace how disciplined you need to be to achieve excellence. The people working for us are always responsive and passionate. Am proud to work here. ,pride
U616,Male,Asian,4.333333333333333,H,F,"Collabera is workplace with a clear mission connecting employees' daily work to a broader social purpose and positive change also high-quality senior leaders who are inspiring, empathetic and competent.",To be very honest that I do not feel any downsides of working at Collabera.,I joined Collabera in pilot batch for my department (DHR) and it's a success story it self though there were many ups and downs.,"mission, purpose, sincerity in a lack of downsides"
