uid,Progress,Duration (in seconds),Finished,bergami_org,bergami_dept,pros,cons,story,bergami_org_num,bergami_dept_num,mael_avg,Length of Service in Years,Job Title,Division,Department,Function,Work Location,Work State,Work Country,Legal Entity Name,Year of Birth,Gender,EEO Code,2019 Performance,2020 Performance,Collabera,2019_perf_dummy,2020_perf_dummy,disengagement,exhaustion,burnout,race,low_quality_response,pros_toks,cons_toks,story_toks,pros_we,pros_i,pros_they,cons_we,cons_i,cons_they,story_we,story_i,story_they,pros_cleaned,cons_cleaned,story_cleaned,pros_toks_len,cons_toks_len,story_toks_len,glassdoor_toks,glassdoor_cleaned,glassdoor_toks_len,low_quality_pros,low_quality_cons,low_quality_story
U281,100,561,True,F,G,Collabera makes us feel comfortable work wise. If the managers are understanding it makes work at lower levels smooth and easy.,Monetary recognition is the major booster for any employee. i feel collabera tends to suppress those kind of rewards.,"Working in a team for 3.5 yrs, never got any recognition no matter how hard i tried. However after changing the team my work was recognized as it should have been. The moral is collabera has to bring similarities in their values at all level and all department rather than pushing it in few places only.",6.0,7.0,3.8333333333333335,5.54,Senior Executive US Payroll,Global Business Services,Finance,US Payroll,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1989,Male,Asian,Not Applicable,Not Applicable,1,,,2.0,2.0,2.0,Asian,0,"['make', 'feel', 'comfortable', 'wise', 'manager', 'understanding', 'make', 'lower', 'level', 'smooth', 'easy']","['monetary', 'recognition', 'major', 'booster', 'feel', 'tends', 'suppress', 'kind', 'reward']","['team', 'yr', 'got', 'recognition', 'matter', 'hard', 'tried', 'changing', 'team', 'recognized', 'moral', 'bring', 'similarity', 'value', 'level', 'department', 'pushing', 'place']",1,0,0,0,1,0,0,2,1,make feel comfortable wise manager understanding make lower level smooth easy,monetary recognition major booster feel tends suppress kind reward,team yr got recognition matter hard tried changing team recognized moral bring similarity value level department pushing place,11,9,18,"['make', 'feel', 'comfortable', 'wise', 'manager', 'understanding', 'make', 'lower', 'level', 'smooth', 'easy', 'monetary', 'recognition', 'major', 'booster', 'feel', 'tends', 'suppress', 'kind', 'reward']",make feel comfortable wise manager understanding make lower level smooth easy monetary recognition major booster feel tends suppress kind reward,20,0,0,0
U352,100,400,True,H,H,"culture, people, and helping my fellow human being find employment to support themselves and their families.",I do not have any downsides working at Collabera. Working with new college grads and helping them start and thrive in their careers along with helping people find employment - there is nothing negative about that.,"I work a lot with new AAMs, training them on how to articulate Collabera, our services, culture, and diversity and inclusion. There is nothing better than to see the lightbulb go on in their head about how fortunate they are to work for Collabera and be in the Staffing Industry!",8.0,8.0,5.0,3.98,Regional Sales Manager,Regional,Sales,Sales,Redmond (Willows Rd NE),Washington,U.S.A.,Collabera Inc.,1958,Male,White,Not Achieved,Not Achieved,1,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,White,0,"['culture', 'helping', 'fellow', 'human', 'find', 'employment', 'support', 'family']","['downside', 'new', 'college', 'grad', 'helping', 'start', 'thrive', 'career', 'helping', 'find', 'employment', 'negative']","['new', 'aams', 'training', 'articulate', 'service', 'culture', 'diversity', 'inclusion', 'better', 'lightbulb', 'head', 'fortunate', 'staffing', 'industry']",0,1,1,0,1,2,1,1,3,culture helping fellow human find employment support family,downside new college grad helping start thrive career helping find employment negative,new aams training articulate service culture diversity inclusion better lightbulb head fortunate staffing industry,8,12,14,"['culture', 'helping', 'fellow', 'human', 'find', 'employment', 'support', 'family', 'downside', 'new', 'college', 'grad', 'helping', 'start', 'thrive', 'career', 'helping', 'find', 'employment', 'negative']",culture helping fellow human find employment support family downside new college grad helping start thrive career helping find employment negative,20,0,0,0
U73,100,907,True,A,C,Many companies invest money but Collabera invest time to bring their employees at next level. ,Under value potential and under pay employees in management. There is no sanity in pay for skill. ,"Collabera Culture, events, appreciation is limited to RDs, SM, AM, NAM, VPs. In last 10 years with Collabera I had not seen Delivery management  is getting awarded or rewarded for anything. Positive thing is Collabera has made a huge difference in my professional career and I cannot thank you enough for that. Huge learning opportunity keeps us going well and positive. ",1.0,3.0,4.666666666666667,10.46,Director - Delivery,Delivery- Global,Recruitment,Recruitment,Toronto (University Ave),Ontario,Canada,Collabera Canada Inc.,1979,Male,Asian,Not Achieved,Not Achieved,1,0.0,0.0,2.3333333333333335,3.3333333333333335,2.8333333333333335,Asian,0,"['company', 'invest', 'money', 'invest', 'time', 'bring', 'level']","['value', 'potential', 'pay', 'management', 'sanity', 'pay', 'skill']","['culture', 'event', 'appreciation', 'limited', 'rds', 'sm', 'nam', 'vps', 'year', 'seen', 'delivery', 'management', 'getting', 'awarded', 'rewarded', 'positive', 'thing', 'huge', 'difference', 'professional', 'career', 'thank', 'huge', 'learning', 'opportunity', 'keep', 'going', 'positive']",0,0,1,0,0,0,1,3,0,company invest money invest time bring level,value potential pay management sanity pay skill,culture event appreciation limited rds sm nam vps year seen delivery management getting awarded rewarded positive thing huge difference professional career thank huge learning opportunity keep going positive,7,7,28,"['company', 'invest', 'money', 'invest', 'time', 'bring', 'level', 'value', 'potential', 'pay', 'management', 'sanity', 'pay', 'skill']",company invest money invest time bring level value potential pay management sanity pay skill,14,0,0,0
U246,100,615,True,F,E,It is a people centric to work for. I have enjoyed my tenure until now.,"I haven't seen much but if I have to then we could be a little better with benifits, Agile, Transparent, flexible in some of our processes",Well I have met a large variety of people. Leadership is a little centered but we have good people that have some good qualities ,6.0,5.0,3.6666666666666665,6.0,Associate Delivery Manager,Regional,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1992,Male,Asian,Achieved,Achieved,1,1.0,1.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,Asian,0,"['centric', 'enjoyed', 'tenure']","['seen', 'little', 'better', 'benifits', 'agile', 'transparent', 'flexible', 'process']","['met', 'large', 'variety', 'leadership', 'little', 'centered', 'quality']",0,2,0,2,2,0,1,1,0,centric enjoyed tenure,seen little better benifits agile transparent flexible process,met large variety leadership little centered quality,3,8,7,"['centric', 'enjoyed', 'tenure', 'seen', 'little', 'better', 'benifits', 'agile', 'transparent', 'flexible', 'process']",centric enjoyed tenure seen little better benifits agile transparent flexible process,11,0,0,0
U50,100,1137,True,F,G,"Excellent work environment, culture and motivation to give my best.",Working in odd hours leading to health issues as well as reduced face time with family.,great passion to go above and beyond expectations and achieve more.  A very open and transparent environment where an individual to ask for or get help from multiple people.,6.0,7.0,4.833333333333333,12.79,Manager Finance & Accounts,GDC Corporate,Finance,GDC Finance & Accounting,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1971,Male,Asian,Not Applicable,Not Applicable,1,,,1.3333333333333333,1.6666666666666667,1.5,Asian,0,"['excellent', 'environment', 'culture', 'motivation', 'best']","['odd', 'hour', 'leading', 'health', 'issue', 'reduced', 'face', 'time', 'family']","['passion', 'expectation', 'achieve', 'open', 'transparent', 'environment', 'individual', 'ask', 'help', 'multiple']",0,1,0,0,0,0,0,0,0,excellent environment culture motivation best,odd hour leading health issue reduced face time family,passion expectation achieve open transparent environment individual ask help multiple,5,9,10,"['excellent', 'environment', 'culture', 'motivation', 'best', 'odd', 'hour', 'leading', 'health', 'issue', 'reduced', 'face', 'time', 'family']",excellent environment culture motivation best odd hour leading health issue reduced face time family,14,0,0,0
U159,100,1471,True,G,H,"I Proud to be part of Collabera. There are Several reasons why anyone should work with Collabera. Few of them are:
1)	Transparency (Process, updates, etc)
2)	Growth plan (Roadmap) 
3)	Best Incentive structure in market. 
4)	Values of Collabera. 
",I don't see any such Cons while working with Collabera. ,"We were handling a client where after putting our best for 6 months we have not seen any success coming out of it. But on same time we know this is going to be big client for Collabera and we can’t stop serving it. So, we did what we do in Collabera we make sure to serve this account with more passion, with more discipline and best in response. Which help us to crack this account and know we are growing day by day.",7.0,8.0,4.833333333333333,7.62,Delivery Manager,Enterprise Services Group,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1989,Male,Asian,Not Applicable,Not Applicable,1,,,1.0,1.6666666666666667,1.3333333333333335,Asian,0,"['proud', 'reason', 'transparency', 'process', 'update', 'etc', 'growth', 'plan', 'roadmap', 'best', 'incentive', 'structure', 'market', 'value']",['con'],"['handling', 'client', 'putting', 'best', 'month', 'seen', 'success', 'coming', 'time', 'know', 'going', 'big', 'client', 'stop', 'serving', 'sure', 'serve', 'account', 'passion', 'discipline', 'best', 'response', 'help', 'crack', 'account', 'know', 'growing', 'day', 'day']",0,1,1,0,1,0,10,0,0,proud reason transparency process update etc growth plan roadmap best incentive structure market value,con,handling client putting best month seen success coming time know going big client stop serving sure serve account passion discipline best response help crack account know growing day day,14,1,29,"['proud', 'reason', 'transparency', 'process', 'update', 'etc', 'growth', 'plan', 'roadmap', 'best', 'incentive', 'structure', 'market', 'value', 'con']",proud reason transparency process update etc growth plan roadmap best incentive structure market value con,15,0,1,0
U163,100,1348,True,E,F,brand image; chance to work with fortune 500 clients; good incentive structure; ,too many changes in very short period; Overtime culture in baroda office,responsive beyond imagination - this is latest example- we got a rec in Wells fargo MN  and we submited two resumes in next hours time and we got interview from client. ,5.0,6.0,4.666666666666667,7.61,Lead Recruiter,Enterprise Services Group,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1983,Male,Asian,Achieved,Achieved,1,1.0,1.0,1.3333333333333333,2.0,1.6666666666666665,Asian,0,"['brand', 'image', 'chance', 'fortune', 'client', 'incentive', 'structure']","['change', 'short', 'period', 'overtime', 'culture', 'baroda', 'office']","['responsive', 'imagination', 'latest', 'example', 'got', 'rec', 'well', 'fargo', 'mn', 'submited', 'resume', 'hour', 'time', 'got', 'interview', 'client']",0,0,0,0,0,0,3,0,0,brand image chance fortune client incentive structure,change short period overtime culture baroda office,responsive imagination latest example got rec well fargo mn submited resume hour time got interview client,7,7,16,"['brand', 'image', 'chance', 'fortune', 'client', 'incentive', 'structure', 'change', 'short', 'period', 'overtime', 'culture', 'baroda', 'office']",brand image chance fortune client incentive structure change short period overtime culture baroda office,14,0,0,0
U230,100,651,True,F,C,Collabera has given me an opportunity to grow very quickly. I could not have imagined being what I am had it being any other organization. Collabera has understood my talents very well and helped me grow horizontally. ,There is an overlap in roles and responsibilities at some levels. There are place where people do not know what they are supposed to do and some places where people do much more than their role. ,"It can be a series of stories. Collabera culture teaches you how to celebrate small wins, how to come together when there is a 911 situation and how to have each other back in not so good times as well. ",6.0,3.0,4.833333333333333,6.17,Associate Delivery Manager,Regional,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1992,Male,Asian,Achieved,Achieved,1,1.0,1.0,1.3333333333333333,2.3333333333333335,1.8333333333333335,Asian,0,"['given', 'opportunity', 'grow', 'quickly', 'imagined', 'organization', 'understood', 'talent', 'helped', 'grow', 'horizontally']","['overlap', 'role', 'responsibility', 'level', 'place', 'know', 'supposed', 'place', 'role']","['series', 'story', 'culture', 'teach', 'celebrate', 'small', 'win', 'come', 'situation', 'time']",0,5,0,0,0,2,0,0,0,given opportunity grow quickly imagined organization understood talent helped grow horizontally,overlap role responsibility level place know supposed place role,series story culture teach celebrate small win come situation time,11,9,10,"['given', 'opportunity', 'grow', 'quickly', 'imagined', 'organization', 'understood', 'talent', 'helped', 'grow', 'horizontally', 'overlap', 'role', 'responsibility', 'level', 'place', 'know', 'supposed', 'place', 'role']",given opportunity grow quickly imagined organization understood talent helped grow horizontally overlap role responsibility level place know supposed place role,20,0,0,0
U325,100,365,True,E,C,Working environment and collabera culture is really fun,only passionate ablut recruting and delivery as whole. other departments are not given much importance,Ample amount of differnt jobs available for different kinds of employees,5.0,3.0,4.166666666666667,5.1,Senior Lead - HRBP,GDC Corporate,Human Resources,GDC HRBP,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1992,Female,Asian,Achieved,Achieved,1,1.0,1.0,1.0,2.6666666666666665,1.8333333333333333,Asian,0,"['environment', 'culture', 'fun']","['passionate', 'ablut', 'recruting', 'delivery', 'department', 'given', 'importance']","['ample', 'differnt', 'job', 'available', 'different', 'kind']",0,0,0,0,0,0,0,0,0,environment culture fun,passionate ablut recruting delivery department given importance,ample differnt job available different kind,3,7,6,"['environment', 'culture', 'fun', 'passionate', 'ablut', 'recruting', 'delivery', 'department', 'given', 'importance']",environment culture fun passionate ablut recruting delivery department given importance,10,0,0,0
U331,100,863,True,C,C,"There are many reasons to work with Collabera like Work Culture, Ethics, environment.",What i feel some times manager did not speak properly and they will not give respect to others.,I have been completed 5 years because of collabera's work culture and environment which I like the most,3.0,3.0,5.0,5.06,Lead Recruiter,Enterprise Services Group,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1992,Male,Asian,Achieved,Achieved,1,1.0,1.0,1.3333333333333333,2.3333333333333335,1.8333333333333335,Asian,0,"['reason', 'like', 'culture', 'ethic', 'environment']","['feel', 'time', 'manager', 'speak', 'properly', 'respect']","['completed', 'year', 'culture', 'environment', 'like']",0,0,0,0,1,1,0,2,0,reason like culture ethic environment,feel time manager speak properly respect,completed year culture environment like,5,6,5,"['reason', 'like', 'culture', 'ethic', 'environment', 'feel', 'time', 'manager', 'speak', 'properly', 'respect']",reason like culture ethic environment feel time manager speak properly respect,11,0,0,0
