uid,Progress,Duration (in seconds),Finished,ResponseId,LocationLatitude,LocationLongitude,mael_1,mael_2,mael_3,mael_4,mael_5,mael_6,bergami_org,bergami_dept,disengagement_1,exhaustion_1,exhaustion_2,exhaustion_3,disengagement_2,disengagement_3,pros,cons,story,bergami_org_num,bergami_dept_num,mael_avg,Length of Service in Years,Job Title,Division,Department,Function,Work Location,Work State,Work Country,Legal Entity Name,Year of Birth,Gender,EEO Code,2019 Performance,2020 Performance,LINK,Collabera,Race,2019_perf_dummy,2020_perf_dummy
U281,100,561,TRUE,R_33jTkGjNFrMpcte,23.02760315,72.58709717,4,4,4,4,3,4,F,G,2,3,3,2,2,2,Collabera makes us feel comfortable work wise. If the managers are understanding it makes work at lower levels smooth and easy.,Monetary recognition is the major booster for any employee. i feel collabera tends to suppress those kind of rewards.,"Working in a team for 3.5 yrs, never got any recognition no matter how hard i tried. However after changing the team my work was recognized as it should have been. The moral is collabera has to bring similarities in their values at all level and all department rather than pushing it in few places only.",6.0,7.0,3.8333333333333335,5.54,Senior Executive US Payroll,Global Business Services,Finance,US Payroll,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1989,Male,Asian,Not Applicable,Not Applicable,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_bHFlYuADqluSrsN&Q_CHL=gl,1,Asian,,
U352,100,400,TRUE,R_3pf3Cp0zxXuNKVX,47.61759949,-122.142395,5,5,5,5,5,5,H,H,1,1,4,1,1,4,"culture, people, and helping my fellow human being find employment to support themselves and their families.",I do not have any downsides working at Collabera. Working with new college grads and helping them start and thrive in their careers along with helping people find employment - there is nothing negative about that.,"I work a lot with new AAMs, training them on how to articulate Collabera, our services, culture, and diversity and inclusion. There is nothing better than to see the lightbulb go on in their head about how fortunate they are to work for Collabera and be in the Staffing Industry!",8.0,8.0,5.0,3.98,Regional Sales Manager,Regional,Sales,Sales,Redmond (Willows Rd NE),Washington,U.S.A.,Collabera Inc.,1958,Male,White,Not Achieved,Not Achieved,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_3KuNb7RT87I3pdz&Q_CHL=gl,1,White,0.0,0.0
U73,100,907,TRUE,R_R3mYfsmdVGCVNeN,43.7940979,-79.70110321,5,4,5,5,5,4,A,C,2,4,2,4,2,1,Many companies invest money but Collabera invest time to bring their employees at next level. ,Under value potential and under pay employees in management. There is no sanity in pay for skill. ,"Collabera Culture, events, appreciation is limited to RDs, SM, AM, NAM, VPs. In last 10 years with Collabera I had not seen Delivery management  is getting awarded or rewarded for anything. Positive thing is Collabera has made a huge difference in my professional career and I cannot thank you enough for that. Huge learning opportunity keeps us going well and positive. ",1.0,3.0,4.666666666666667,10.46,Director - Delivery,Delivery- Global,Recruitment,Recruitment,Toronto (University Ave),Ontario,Canada,Collabera Canada Inc.,1979,Male,Asian,Not Achieved,Not Achieved,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_cZnOePEhWi6g8lv&Q_CHL=gl,1,Asian,0.0,0.0
U246,100,615,TRUE,R_vpjTDggbPEbzDcl,23.25259399,77.4045105,4,3,4,3,4,4,F,E,2,2,3,2,2,3,It is a people centric to work for. I have enjoyed my tenure until now.,"I haven't seen much but if I have to then we could be a little better with benifits, Agile, Transparent, flexible in some of our processes",Well I have met a large variety of people. Leadership is a little centered but we have good people that have some good qualities ,6.0,5.0,3.6666666666666665,6.0,Associate Delivery Manager,Regional,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1992,Male,Asian,Achieved,Achieved,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_8ekt7TkNKC2PT5r&Q_CHL=gl,1,Asian,1.0,1.0
U50,100,1137,TRUE,R_UPwc0ARpoL8BkOd,22.30029297,73.20509338,5,4,5,5,5,5,F,G,1,3,4,2,1,2,"Excellent work environment, culture and motivation to give my best.",Working in odd hours leading to health issues as well as reduced face time with family.,great passion to go above and beyond expectations and achieve more.  A very open and transparent environment where an individual to ask for or get help from multiple people.,6.0,7.0,4.833333333333333,12.79,Manager Finance & Accounts,GDC Corporate,Finance,GDC Finance & Accounting,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1971,Male,Asian,Not Applicable,Not Applicable,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_0GoRdAaFgnT9c8d&Q_CHL=gl,1,Asian,,
U159,100,1471,TRUE,R_Tjec31QWrwjf3Rn,31.68409729,76.52508545,5,5,5,5,5,4,G,H,1,2,3,2,1,3,"I Proud to be part of Collabera. There are Several reasons why anyone should work with Collabera. Few of them are:
1)	Transparency (Process, updates, etc)
2)	Growth plan (Roadmap) 
3)	Best Incentive structure in market. 
4)	Values of Collabera. 
",I don't see any such Cons while working with Collabera. ,"We were handling a client where after putting our best for 6 months we have not seen any success coming out of it. But on same time we know this is going to be big client for Collabera and we can’t stop serving it. So, we did what we do in Collabera we make sure to serve this account with more passion, with more discipline and best in response. Which help us to crack this account and know we are growing day by day.",7.0,8.0,4.833333333333333,7.62,Delivery Manager,Enterprise Services Group,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1989,Male,Asian,Not Applicable,Not Applicable,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_77ejPbaQ2MXMqEJ&Q_CHL=gl,1,Asian,,
U163,100,1348,TRUE,R_XpHuNoP9SvPOrpT,22.30029297,73.20509338,4,4,5,5,5,5,E,F,1,3,3,2,2,3,brand image; chance to work with fortune 500 clients; good incentive structure; ,too many changes in very short period; Overtime culture in baroda office,responsive beyond imagination - this is latest example- we got a rec in Wells fargo MN  and we submited two resumes in next hours time and we got interview from client. ,5.0,6.0,4.666666666666667,7.61,Lead Recruiter,Enterprise Services Group,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1983,Male,Asian,Achieved,Achieved,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_esUKYzYX5B0MYqp&Q_CHL=gl,1,Asian,1.0,1.0
U230,100,651,TRUE,R_1q4zb59HDdFlppk,26.9203949,75.78819275,5,4,5,5,5,5,F,C,2,3,3,3,2,4,Collabera has given me an opportunity to grow very quickly. I could not have imagined being what I am had it being any other organization. Collabera has understood my talents very well and helped me grow horizontally. ,There is an overlap in roles and responsibilities at some levels. There are place where people do not know what they are supposed to do and some places where people do much more than their role. ,"It can be a series of stories. Collabera culture teaches you how to celebrate small wins, how to come together when there is a 911 situation and how to have each other back in not so good times as well. ",6.0,3.0,4.833333333333333,6.17,Associate Delivery Manager,Regional,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1992,Male,Asian,Achieved,Achieved,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_brRzyO9B2LlcDdz&Q_CHL=gl,1,Asian,1.0,1.0
U325,100,365,TRUE,R_1pERVGHiGtDMTfr,23.02760315,72.58709717,5,2,5,4,5,4,E,C,1,3,3,4,2,4,Working environment and collabera culture is really fun,only passionate ablut recruting and delivery as whole. other departments are not given much importance,Ample amount of differnt jobs available for different kinds of employees,5.0,3.0,4.166666666666667,5.1,Senior Lead - HRBP,GDC Corporate,Human Resources,GDC HRBP,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1992,Female,Asian,Achieved,Achieved,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_8uZL1ziZkP0vu1n&Q_CHL=gl,1,Asian,1.0,1.0
U331,100,863,TRUE,R_2Tozn5fG5wGGpI6,21.18260193,72.7664032,5,5,5,5,5,5,C,C,1,3,3,3,2,3,"There are many reasons to work with Collabera like Work Culture, Ethics, environment.",What i feel some times manager did not speak properly and they will not give respect to others.,I have been completed 5 years because of collabera's work culture and environment which I like the most,3.0,3.0,5.0,5.06,Lead Recruiter,Enterprise Services Group,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1992,Male,Asian,Achieved,Achieved,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_2tVO5opEAGISZtH&Q_CHL=gl,1,Asian,1.0,1.0
U377,100,400,TRUE,R_3RyzmWq2yGa4Fe4,22.30029297,73.20509338,5,5,5,5,5,4,F,E,2,3,3,3,2,2,"Culture, enviornment, and motivation from people around me.","Night shifts, working nights affects our biological cycle, so that is the only down side i see.","Celebrating every festivals with everyone around, i don't believe people would be missing their home while being at their 2nd home(Collabera).",6.0,5.0,4.833333333333333,4.68,Senior Technical Recruiter,Enterprise Services Group,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1994,Male,Asian,Not Applicable,Not Applicable,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_8eadSufFoGj3V77&Q_CHL=gl,1,Asian,,
U320,100,1093,TRUE,R_2QgQ1QWrAnK3ttQ,23.02760315,72.58709717,5,5,5,5,5,5,D,D,1,3,3,3,3,1,A company with a great balance between work and play. It understand that if you work hard you need to play hard too.,"Nothing as such, but favouritism is something that should not be there.",People at Collabera don't feel isolated during local festivals despite of working on local holidays. They work on those days but get ample time to celebrate at the same time.,4.0,4.0,5.0,5.14,Lead Recruiter,Enterprise Services Group,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1993,Male,Asian,Not Achieved,Achieved,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_4YMspUm3SNh8JHD&Q_CHL=gl,1,Asian,0.0,1.0
U108,100,496,TRUE,R_2TBp4AiRrNGWBWz,33.85780334,-117.7868958,5,5,5,5,5,4,E,E,2,3,4,2,2,1,Good work-life balance. Our organization allows mid-managers to take initiative rather than micro-manage. Which allows employees to grow within the organization.,Always keeping your guard up against internal and external forces of the organization. Sometimes feels as if others are gunning to take your place. ,"Collabera's culture has always been to uplift individuals within the organization. Considering my personal experiences, I originally started as a Technical Recruiter, today i am part of the mid-management team. Changing multiple roles and learning a ton about our industry. Other organizations don't invest back into employees. ",5.0,5.0,4.833333333333333,9.27,National Account Manager,Enterprise Services Group,Sales,Sales,Home Office,California,U.S.A.,Collabera Inc.,1986,Male,Asian,Not Achieved,Not Achieved,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_5vwlt1vZBEL5wEZ&Q_CHL=gl,1,Asian,0.0,0.0
U35,100,1311,TRUE,R_sqa9viWIoG8X5Nn,42.01280212,-88.09670258,4,4,5,4,4,4,E,F,1,2,4,2,2,2,"Collabera is very exciting place to work at. Though the nature of the work is not a rocket science, there are still internal and external challenges that keeps me alive and active. Collabera's client portfolio and service offering is the richest in the industry which puts Collabera in the best position to meet the goal of constant growth.","In some scenarios, standardization of the financial reward structure is not favorable for everyone, knowing that every client has different characteristics than other. ","The way that we have established our 5 cultures is unmatched in the industry. Be is a red zone call, or external and internal responsiveness, or project 333, or fill ratio, or response rate, we have not left any stone unturned to provide best services to our clients.",5.0,6.0,4.166666666666667,14.23,Director - Business Management,Enterprise Services Group,Sales,Sales,Des Plaines (Touhy Ave),Illinois,U.S.A.,Collabera Inc.,1973,Male,Asian,Not Achieved,Achieved,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_cYZ7gHjiwLe6Ke9&Q_CHL=gl,1,Asian,0.0,1.0
U211,100,1240,TRUE,R_2pMjSAlgVnN4Tii,26.2684021,73.00590515,3,2,5,3,3,5,F,F,4,4,1,1,1,4,Collabera is blessed to have Great clients and hence they provide good incentives to the recruiters as well.,Collabera is becoming too much dynamic and trying to execute several things at same time which becomes hectic for ground level folks.,We live and breathe Collabera cultural values. One example that I witness each day is being insanely competitive. We jump on reqs and try to beat our competitors,6.0,6.0,3.5,6.54,Lead Recruiter,Enterprise Services Group,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1992,Male,Asian,Achieved,Achieved,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_0xgWC53cjoGd0RD&Q_CHL=gl,1,Asian,1.0,1.0
U21,100,2107,TRUE,R_3QRjhr9utm5yMiF,38.92999268,-77.34999847,5,5,5,4,5,5,B,H,1,2,3,2,1,2,Collabera provides an equal platform oF opportunities for those with potential. An individual with right attitude and core values would be able to see good career growth and development. ,"Since Collabera is scaling up at a fast pace, though there are multiple opportunities individuals will need to be more competitive and work harder to be the top performers. ","One of Collabera’s core values is passionate about serving employees and clients. In spite of facing severe personal and infrastructural difficulties, individuals went over and beyond to deliver seamless, exemplary service to our employees. ",2.0,8.0,4.833333333333333,17.56,Head of Employee Relations,Business Core Services,Employee Relations,Employee Relations,Home Office,Virginia,U.S.A.,Collabera Inc.,1978,Female,Asian,Achieved,Achieved,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_cT5svoCA5ZiyeRT&Q_CHL=gl,1,Asian,1.0,1.0
U495,100,454,TRUE,R_1Ne8f1nqTCX1eSO,22.30029297,73.20509338,5,3,4,4,4,4,C,D,2,3,3,3,2,1,"Friendly and semi formal work environment, Open door policy, Young vibe in office, Cheerful Friends & teammates","Night Shift affects health specially for women, sometimes initiates goes unnoticed ","Collabera Employee Appreciation week & celebrating festivities truly represents ""Work Hard Play Hard"" culture",3.0,4.0,4.0,3.72,Senior Executive Employee Relations,Business Core Services,Employee Relations,Employee Relations,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1991,Female,Asian,Achieved,Achieved,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_0OFVUKsVjdVsx8N&Q_CHL=gl,1,Asian,1.0,1.0
U408,100,948,TRUE,R_2YDGjTcEO3IyWBd,37.75100708,-97.8219986,3,5,5,5,3,5,F,D,2,2,3,3,3,2,Salary credited in account on time. We celebrate Indian festivals so it feels good while working as we working in US timings.,Our shift timing is of 10Hr with 1Hr of break so sometimes it is feel like too much workload. It should be of 9Hr with 1Hr break.,Collabera's environment is good and I saw few people join back to Collabera as they like the environment. We work hard and party hard on Blaze.,6.0,4.0,4.333333333333333,4.48,Senior Executive Operations,Business Core Services,Operations,Operations,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1984,Male,Asian,Achieved,Achieved,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_b2hqhcoxX23HjfL&Q_CHL=gl,1,Asian,1.0,1.0
U33,100,2327,TRUE,R_2ucaYZOVpbfAK2d,43.58729553,-79.61399841,5,5,1,5,5,5,F,G,1,2,4,2,2,3,"People first approach, The culture of Collabera and If not me then who else approach helps me to own the task and drive to completion.",Not any but yes at times someone may feel that the financial growth is not enough.,Just focus on your task and do not get distracted by others growth or failures. Just focus on your own task and align your growth plans with your business units/company's gowth trajectory.,6.0,7.0,4.333333333333333,14.52,Manager,Global Business Services,Operations Management,Operations Management,Mississauga (Skymark Ave),Ontario,Canada,Collabera Canada Inc.,1973,Male,Asian,Not Applicable,Not Applicable,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_0JrRi1IaZIxkKNL&Q_CHL=gl,1,Asian,,
U187,100,788,TRUE,R_6EuzKw3leHHePYZ,22.30029297,73.20509338,5,1,5,5,5,5,H,H,1,4,4,1,1,4,"I feel Collabera is the best company in the market to work with,  the kind of hire managment support we have and the managers are very cooperative. We can easily reach out to them and talk of any issues if incase we are facing. Collabera provides lot of trainings to its employee groom better. Collabera is spending so much in training its employees, it helps us to better in our job. ",Nothing to say. Don't have anything to talk about. I feel Collabera is best place to work.,We have the best culture in our office - everything is transparent. We do get the opportunity to learn more and we can always reach out to our managers for any questions that we have. The amount of hard work we put in we equally enjoy our time at work - work hard play hard is followed properly and all other Collabera Cultures.,8.0,8.0,4.333333333333333,7.03,Account Manager,Enterprise Services Group,Sales,Sales,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1983,Female,Asian,Not Applicable,Not Applicable,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_e2nMAVVZVLS9hA1&Q_CHL=gl,1,Asian,,
U316,100,1550,TRUE,R_1l4Y8BeLY0mEHf7,23.02760315,72.58709717,4,4,4,4,4,4,D,D,1,2,3,2,2,3,"Great culture and environment, competitiveness, success stories and growth opportunities",I dont have anything that I can say about Collabera that I dont like. ,"Blaze event, when the whole team is standing in the crowd for you when you get an award, that shows team efforts even there is competitiveness.",4.0,4.0,4.0,5.17,Lead Recruiter,Enterprise Services Group,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1993,Male,Asian,Achieved,Achieved,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_abLtRO7WVIzMUrr&Q_CHL=gl,1,Asian,1.0,1.0
